Entertainer,Gender,Birth Year,#1 Hit,Breakthrough  Name,Award Year,Last work,Year of Death,last work,Age,Living Status
Adele,F,1988,nomination year,19,2009,2016,0,2016,36,Living
Angelina Jolie,F,1975,nomination year,"Girl, Interrupted",1999,2016,0,2016,49,Living
Aretha Franklin,F,1942,nomination year,I Never Loved a Man (The Way I Love You),1968,2014,0,2014,82,Living
Bette Davis,F,1908,nomination year,Of Human Bondage,1935,1989,1989,1989,81,Not Alive
Betty White,F,1922,nomination year,Life with Elilzabeth,1976,2016,0,2016,102,Living
Bing Crosby,M,1903,nomination year,Several Songs,1962,1974,1977,1974,74,Not Alive
Bob Hope,M,1903,nomination year,The Big Broadcast of 1938,1940,1972,2003,1972,100,Not Alive
Carol Burnett,F,1933,nomination year,The Garry Moore Show,1962,2016,0,2016,91,Living
Carole Lombard,F,1908,nomination year,Twentieth Century,0,1942,1942,1942,34,Not Alive
Carrie Fisher,F,1956,nomination year,Star Wars,0,2016,2016,2016,60,Not Alive
Cary Grant,M,1904,nomination year,"She Done Him Wrong, I'm No Angel",1970,1966,1986,1966,82,Not Alive
Charlie Chaplin,M,1889,nomination year,The Tramp,1929,1967,1977,1967,88,Not Alive
Clara Bow,F,1905,nomination year,Mantrap,0,1933,1965,1933,60,Not Alive
Clark Gable,M,1901,nomination year,It Happened One Night,1934,1960,1960,1960,59,Not Alive
David Letterman,M,1947,nomination year,Late Night with David Letterman,1981,2015,0,2015,77,Living
Debbie Reynolds,F,1932,nomination year,Singin' in the Rain,0,2006,2016,2006,84,Not Alive
Denzel Washington,M,1954,nomination year,Glory,1989,2016,0,2016,70,Living
Dick Van Dyke,M,1925,nomination year,"Bye Bye Birdie, The Dick Van Dyke Show",1964,2015,0,2015,99,Living
Donald Sutherland,M,1935,nomination year,The Dirty Dozen,1995,2016,0,2016,89,Living
Dustin Hoffman,M,1937,nomination year,The Graduate,1980,2016,0,2016,87,Living
Ed Sullivan,M,1901,nomination year,Toast of the Town,1956,1973,1974,1973,73,Not Alive
Eddie Murphy,M,1961,nomination year,Saturday Night Live,2001,2016,0,2016,63,Living
Elton John,M,1947,nomination year,Honky Chateau,1987,2016,0,2016,77,Living
Elvis Presley,M,1935,nomination year,Heartbreak Hotel,1959,1977,1977,1977,42,Not Alive
Frank Sinatra,M,1915,nomination year,I'll Never Smile Again,1946,1980,1998,1980,83,Not Alive
Gene Hackman,M,1930,nomination year,Bonnie and Clyde,1971,2004,0,2004,94,Living
George Michael,M,1963,nomination year,Wake Me Up Before You Go-Go,1988,2004,2016,2004,53,Not Alive
Gregory Peck,M,1916,nomination year,The Keys of the Kingdom,1962,1991,2003,1991,87,Not Alive
Greta Garbo,F,1905,nomination year,Anna Christie,1954,1941,1990,1941,85,Not Alive
Humphrey Bogart,M,1899,nomination year,The Petrified Forest,1951,1956,1957,1956,58,Not Alive
James Dean,M,1931,nomination year,East of Eden,1955,1955,1955,1955,24,Not Alive
Jay Leno,M,1950,nomination year,The Tonight Show,1995,2014,0,2014,74,Living
Jennifer Aniston,F,1969,nomination year,Friends,2002,2016,0,2016,55,Living
Jerry Seinfeld,M,1954,nomination year,Seinfeld,1992,2016,0,2016,70,Living
Jimmy Page,M,1944,nomination year,Led Zeppelin 2,1999,2016,0,2016,80,Living
Jimmy Stewart,M,1908,nomination year,You Can't Take it With You,1941,1980,1997,1980,89,Not Alive
Joan Crawford,F,1904,nomination year,Our Dancing Daughters,1946,1970,1977,1970,73,Not Alive
John Lennon,M,1940,nomination year,I Want to Hold Your Hand,1965,1980,1980,1980,40,Not Alive
John Wayne,M,1907,nomination year,Stagecoach,1970,1976,1979,1976,72,Not Alive
Johnny Carson,M,1925,nomination year,The Tonight Show Starring Johnny Carson,1976,1992,2005,1992,80,Not Alive
Johnny Depp,M,1963,nomination year,21 Jump Street,0,2016,0,2016,61,Living
Justin Timberlake,M,1981,nomination year,No Strings Attached,2004,2016,0,2016,43,Living
Katherine Hepburn,F,1907,nomination year,Morning Glory,1933,1994,2003,1994,96,Not Alive
Keifer Sutherland,M,1966,nomination year,24,2006,2016,0,2016,58,Living
Kirk Douglas,M,1916,nomination year,Champion,1996,2004,0,2004,108,Living
Lady Gaga,F,1986,nomination year,The Fame,2010,2016,0,2016,38,Living
Leonard Bernstein,M,1918,nomination year,West Side Story,1962,1989,1990,1989,72,Not Alive
Leonardo DiCaprio,M,1974,nomination year,Titanic,2016,2016,0,2016,50,Living
Louis Armstrong,M,1901,nomination year,"Hello, Dolly!",1993,1970,1971,1970,70,Not Alive
Madonna,F,1958,nomination year,Like A Virgin,1992,2015,0,2015,66,Living
Mariah Carey,F,1969,nomination year,Mariah Carey,1991,2014,0,2014,55,Living
Marlon Brando,M,1924,nomination year,Streetcar Named Desire,1953,2001,2004,2001,80,Not Alive
Mary Tyler Moore,F,1936,nomination year,The Dick Van Dyke Show,1964,2013,0,2013,88,Living
Meryl Streep,F,1949,nomination year,The Deer Hunter,1980,2016,0,2016,75,Living
Mick Jagger,M,1943,nomination year,(I Can't Get No) Satisfaction,1987,2016,0,2016,81,Living
Morgan Freeman,M,1937,nomination year,Driving Miss Daisy and Glory,2005,2016,0,2016,87,Living
Oprah Winfrey,F,1954,nomination year,The Color Purple,1987,2016,0,2016,70,Living
Paul McCartney,M,1942,nomination year,I Want to Hold Your Hand,1965,2016,0,2016,82,Living
Paul Newman,M,1925,nomination year,Cat on a Hot Tin Roof,1986,2005,2008,2005,83,Not Alive
Peter O'Toole,M,1932,nomination year,Lawrence of Arabia,2002,2013,2013,2013,81,Not Alive
Prince,M,1958,nomination year,Prince,1984,2016,2016,2016,58,Not Alive
Robert Redford,M,1936,nomination year,Butch Cassidy and the Sundance Kid,1980,2016,0,2016,88,Living
Sidney Poitier,M,1927,nomination year,Blackboard Jungle,1964,2008,0,2008,97,Living
Sly Stone,M,1943,nomination year,Everyday People,2017,1971,0,1971,81,Living
Stevie Wonder,M,1950,nomination year,Fingertips,1973,2005,0,2005,74,Living
Tom Hanks,M,1956,nomination year,Splash,1993,2016,0,2016,68,Living
Tony Bennett,M,1926,nomination year,Because of You,1963,2016,0,2016,98,Living
